timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,5.1820,20.8520,96.1300,3.1450,1.2610,3.3500,4.8050,8.2580,-2.9380,1.5820,2.0920,-114.6560,-3.2470,1.4400,0.7540,1.3740,9.0090,4.1870,6.8600,15.8020,-82.1460,-2.9920,0.8480,0.5720,-3.0170,8.7510,3.1530,5.5720,-22.7910,145.2830,-7.7860,3.1110,4.9760,3.3570,8.5160,3.9620,11.6680,-12.0670,156.8800,-13.0070,2.7620,-0.0010,-2.5520,7.0490,6.3640
40,4.6330,20.1060,96.1300,-3.9240,-2.6930,3.1210,5.3150,7.8460,-1.9750,1.3410,1.7930,-114.6560,-0.8040,0.2950,1.5170,1.8580,9.1840,4.3170,6.8600,15.1690,-82.1460,-9.3130,2.4810,-3.7180,-3.0860,8.6240,3.2420,5.4340,-22.1810,145.4870,-6.2740,2.1640,5.0980,3.1410,8.9690,3.3660,11.6240,-12.0380,156.8800,-7.9850,1.2050,0.8380,-2.3890,7.8870,5.6460
80,4.9020,19.9850,96.1300,0.6560,7.9790,3.3190,4.6090,8.2070,-2.9690,1.7310,1.4460,-114.6560,-6.0560,9.7760,-3.3380,1.1710,9.0430,3.9050,7.2680,14.4410,-82.1460,-7.7250,5.7180,-1.3210,-3.6730,8.2290,3.4790,5.6240,-22.3240,145.6910,-10.6710,12.4690,5.0980,3.2060,8.3220,4.4890,11.5840,-13.1060,156.8800,-23.6330,1.8310,0.7310,-2.3010,7.0050,6.4140
120,4.3720,19.3820,96.3680,-4.2450,-3.6250,5.9450,5.2550,8.0640,-2.3490,1.8290,0.9700,-114.6560,-6.6370,2.9670,-1.6730,1.2040,9.0880,4.2330,7.3880,13.9980,-82.1460,-1.0380,6.5120,2.7550,-3.0930,8.4750,3.5630,5.5250,-21.7190,145.6910,-7.1600,6.3170,3.3270,3.2610,8.8130,3.3660,11.5990,-13.4420,156.8800,-18.2590,-0.1390,0.9450,-2.6100,7.6520,5.6740
160,4.3270,18.7000,96.8590,-14.8090,0.3600,12.2810,4.5370,8.1120,-2.9810,1.8370,0.1870,-114.6560,-5.1250,4.2650,2.6170,1.4920,8.6860,5.0130,7.8560,14.1370,-81.8620,2.5190,9.9620,7.1060,-3.6150,8.6930,2.6650,6.4590,-21.4040,145.6910,-11.2510,26.3930,4.7620,2.6050,8.8990,3.7370,11.5820,-13.8680,156.8800,-36.5490,-0.0170,0.7770,-2.6120,8.5690,4.8360
200,3.3760,18.0390,98.0430,-17.9550,-17.7620,29.5940,5.1020,8.0470,-3.1890,2.5640,0.3480,-114.6560,0.7830,16.8290,-2.6510,0.8670,9.2390,3.5480,7.8090,13.6520,-81.4120,-7.5110,-3.5030,11.2590,-3.5700,8.3340,3.0380,7.0210,-22.4650,146.2400,-44.6250,22.8510,13.7090,2.8900,8.5140,3.9620,11.1850,-16.7220,157.1610,-90.4730,-10.1540,7.0060,-2.4760,7.5780,5.4970
240,2.4430,16.3580,99.2600,-55.0840,-34.4340,30.4190,4.1920,8.9640,-4.3310,3.9850,-0.1660,-115.4920,-10.5450,34.3560,-20.9100,0.6270,9.0360,4.0560,7.2000,12.4030,-80.9810,-21.1450,3.5960,10.7550,-1.9030,8.8490,3.8790,7.3570,-23.4380,147.3690,-49.7240,22.1790,28.2430,3.2230,8.6650,3.6770,10.6870,-21.4610,157.5640,-113.5270,-14.2920,10.0750,-2.5000,5.6290,7.3480
280,-0.6460,11.2540,101.0070,-122.3060,-71.0440,43.6860,4.7210,6.8140,-1.4440,5.1530,-1.4110,-116.0630,-16.5750,30.3410,-14.2540,0.6110,8.5280,5.1620,8.0210,11.0840,-80.9810,-24.0920,27.6570,-1.5350,-2.9520,8.3410,3.7300,7.7820,-25.3790,148.6380,-64.5640,31.8890,31.7090,3.6270,7.8720,4.5610,10.1360,-24.0800,158.1760,-86.0910,-10.6890,15.3120,-1.9270,6.5480,6.0620
320,-4.3270,5.5610,103.2570,-136.8710,-73.7620,56.2360,7.5580,7.9870,-0.9190,5.8710,-1.3380,-115.8610,-3.9340,20.4330,5.0440,0.5820,9.2100,3.5460,8.7340,10.4800,-80.9810,-19.3890,23.4740,1.1060,-3.2250,8.6720,2.8300,10.0150,-26.3420,149.7800,-93.0370,61.6750,28.5480,1.9750,9.5120,1.0270,9.9110,-28.4160,158.9430,-109.8010,-7.1010,19.1740,-1.8600,5.7130,5.6980
360,-5.5680,2.3650,103.5170,-90.4130,-32.0670,6.5100,5.5880,7.9220,-1.5950,5.7620,-2.5510,-115.8610,-23.2320,24.4780,-3.2920,2.7820,8.9710,4.8630,9.1560,9.5360,-80.9810,-35.4660,35.5350,4.4800,-1.8240,9.3230,2.5520,12.3160,-32.9230,152.0530,-185.0680,89.7980,56.8380,3.1790,6.3060,4.7980,10.0390,-35.5670,160.1630,-180.1830,1.7240,30.5020,-2.7720,4.5390,5.5450
400,-5.8550,-0.9270,103.5170,-99.3130,-22.9220,-0.8480,4.7880,6.1200,2.9260,8.0040,-4.1410,-116.6350,-43.9340,53.5470,-19.3530,-0.2870,8.5880,3.9070,11.0600,8.2520,-81.4150,-44.8240,47.8860,-10.8480,-3.9650,8.2120,2.3870,17.7500,-40.9220,153.8230,-187.7090,130.9270,44.2430,3.1080,3.4140,11.5380,9.6170,-46.2430,161.8550,-241.4350,11.2350,42.3040,-0.7450,0.7590,9.6990
440,-6.5130,-3.3980,104.2060,-70.8860,-23.5630,17.2280,4.7410,7.5110,-0.7020,9.9730,-5.6770,-117.1100,-45.6590,49.1650,-11.8720,-0.4290,8.8320,4.0290,11.8540,5.9220,-81.8900,-52.7020,50.5880,-11.8560,-1.8910,8.6140,4.4600,21.1270,-44.5240,155.0240,-122.7930,111.4310,30.0290,1.3190,6.0240,6.0600,12.7270,-52.6110,162.7430,-170.5950,88.1970,22.1820,-2.1190,2.2840,9.3900
