timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,0.6070,1.2520,-0.2050,-0.9770,0.0850,-0.0400,2.6460,8.8370,-3.3450,1.5730,4.9770,5.5390,0.1390,0.1110,-0.0050,2.4300,8.7920,4.0220,6.4870,3.2590,-132.2480,0.5760,0.7660,0.4780,-0.2440,8.7630,4.2380,2.5860,1.7710,48.0120,1.0650,-1.6540,0.2650,1.9780,9.1840,3.5550,-1.2880,6.2810,113.7940,1.9870,0.7500,-0.0990,-2.7320,8.7120,4.3620
40,0.7730,1.2520,-0.2050,-1.5980,1.6120,-0.3910,2.5120,8.8710,-3.3930,1.5230,5.0090,5.5390,-0.7320,-0.3780,-0.2340,2.5280,8.9970,3.7850,6.5050,3.1500,-132.2480,-1.5910,0.0330,-0.6060,-0.3900,8.6600,4.5560,2.5980,1.6960,48.0120,-1.4690,-0.4020,0.5560,1.8480,9.0050,3.7350,-1.2030,6.2880,113.7940,-0.8680,0.6280,-0.2820,-2.7460,8.3490,4.5180
80,0.7200,1.2650,-0.2050,-0.2540,-0.6170,0.7690,2.8180,8.9280,-3.3280,1.5370,4.9320,5.5390,-0.9570,-0.0860,-0.0340,2.4010,8.8870,3.9770,6.5490,3.4280,-132.2480,2.6990,0.0180,0.0200,-0.4480,8.8350,4.0960,2.5150,1.7210,48.0120,1.5390,-1.1960,0.2200,2.0040,9.0070,3.7760,-1.2420,6.2580,113.7940,0.4610,-0.3340,0.3740,-2.5470,8.2340,4.6710
120,0.6290,1.2150,-0.2050,0.0820,-2.2050,0.0370,2.7630,8.9400,-3.1580,1.6370,5.1230,5.5390,1.2000,-0.3760,-0.4460,2.1690,9.0240,3.5940,6.5290,3.4290,-132.2480,-0.1560,0.1090,0.4480,-0.3020,8.6500,4.3860,2.5820,1.8230,48.0120,0.2710,0.3160,0.1430,1.8030,9.1270,3.5220,-1.3370,6.3910,113.7940,0.5190,-1.0800,0.5400,-2.5000,8.4750,4.4080
160,0.7220,1.1930,-0.2050,-1.7350,0.0390,1.9910,2.5450,8.8630,-3.3470,1.6410,5.1680,5.5390,-0.4640,0.0210,0.3020,2.4130,8.9500,3.7370,6.4110,3.3600,-132.2480,-1.0110,-0.4720,-0.1810,-0.1340,8.6480,4.4770,2.5790,1.7050,48.0120,-0.3710,-0.0070,0.4170,1.9180,8.9210,3.8950,-1.4190,6.3330,113.7940,-0.6100,-1.7670,0.5560,-2.5810,8.3510,4.6930
200,0.7410,1.2020,-0.2050,-1.0020,-0.0520,0.8920,2.6960,8.8610,-3.3470,1.5250,5.1900,5.5390,0.2410,-0.9870,-0.1270,2.6290,8.9880,3.8690,6.4460,3.1400,-132.2480,-1.3010,0.4900,-1.0510,-0.3780,8.5210,4.7760,2.5250,1.7840,48.0120,-0.2930,-0.0370,-0.1190,2.0540,9.1650,3.5430,-1.4360,6.4420,113.7940,0.8550,-0.6220,-0.2990,-2.6290,8.4850,4.4920
240,0.7010,1.1240,-0.2050,-1.7050,-0.1130,1.6700,2.8080,8.8540,-3.2060,1.5300,4.9300,5.5390,-1.5300,-0.1930,-0.6620,2.4230,8.7750,4.2930,6.4470,3.1620,-132.2480,-1.1780,-0.4720,-0.5010,-0.3880,8.7510,4.3290,2.6860,1.7770,48.0120,-1.5590,1.1390,0.4620,1.6710,9.1820,3.6390,-1.3230,6.3120,113.7940,-2.0000,0.5540,-0.2230,-2.8130,8.3100,4.7140
280,0.7320,1.1100,-0.2050,-1.2160,-0.8920,1.4410,2.6050,8.8900,-3.3110,1.5380,4.8870,5.5390,0.1030,-0.3000,0.1020,2.4060,8.9180,4.0130,6.4660,2.8240,-132.2480,-3.3310,-0.0440,-0.1040,-0.3880,8.4130,4.8510,2.5380,1.4180,48.0120,-4.7490,-2.1130,2.6750,2.0470,8.7990,4.0460,-1.3330,6.1810,113.7940,-2.9310,-2.4390,1.1210,-2.7680,8.2410,4.6140
320,0.5800,1.0500,-0.2050,0.6620,-3.3040,2.4340,2.8610,9.1080,-3.1200,1.7640,4.9740,5.5390,0.3930,1.8090,0.8340,2.0540,8.9040,3.7210,6.4870,3.0650,-132.2480,-3.8660,3.6810,0.6440,-0.0930,9.0720,3.7470,2.4190,1.5270,48.0120,-3.6040,-0.8310,3.0420,2.1430,9.2610,3.2700,-1.2490,6.3010,113.7940,-1.2060,-0.6830,1.9600,-2.9160,8.6810,4.4080
360,0.5820,1.0650,-0.2050,-1.5670,-1.9610,2.4790,2.5910,8.8130,-3.3710,1.8950,5.0050,5.5390,-0.0190,2.7090,0.4980,2.3490,9.0000,3.8500,6.8550,1.8690,-132.2480,-31.3770,8.9790,-4.7610,-0.4410,8.6690,4.5780,2.6890,1.2920,48.2830,-21.2070,3.2760,6.7670,1.6350,9.6150,2.6600,-1.6280,6.1360,113.7940,-11.1600,-7.9350,4.4950,-2.4900,8.8730,4.2880
400,-0.1510,0.9870,0.1030,-2.4220,-10.7850,7.7010,3.5870,8.9090,-3.2660,2.0610,4.5600,5.5390,-5.6370,3.3200,0.7880,2.3800,9.0600,4.5420,7.3570,0.5580,-132.5920,-49.6670,22.3990,-8.6080,0.2990,8.9540,3.5720,3.0800,0.7080,49.0710,-52.7190,13.5810,19.6980,2.3100,10.4120,0.9700,-1.7000,5.7350,114.1660,-33.4500,-3.7970,9.3040,-3.0240,10.1180,3.3690
440,-0.7780,0.4930,0.8580,-12.2700,-15.8230,18.8760,2.8250,8.4470,-2.9690,2.7970,3.8650,5.5390,-14.2630,17.9610,-3.6850,2.1880,8.7460,4.2810,9.1140,-3.3010,-133.3870,-91.0260,36.2920,-19.8600,-1.4340,7.6610,5.6890,4.6040,-4.6330,50.5780,-102.7800,49.8100,37.6830,2.3370,6.3760,6.2300,-2.3420,1.4900,114.8660,-87.8930,-9.5380,17.4870,-1.7290,6.4550,6.0260
480,-0.7730,-0.4500,1.5560,-25.2770,-6.5560,17.4560,2.2550,8.3030,-2.9070,3.3210,3.3310,5.5390,-20.8440,20.3580,-1.9900,2.7440,8.9930,3.5390,9.7490,-5.9790,-134.3510,-96.1710,19.9100,-24.1040,-0.5550,8.5590,3.5480,5.4120,-7.6940,51.7050,-76.0010,25.5660,28.1870,1.8720,8.4130,5.3370,-2.6480,-0.7090,115.5850,-53.8320,-11.1560,17.9760,-2.7920,7.9700,5.9470
520,-1.7860,-1.0890,2.1230,-18.1780,-23.3350,14.1590,3.3300,8.8180,-3.0140,3.6690,2.4100,5.2370,-19.8510,10.2820,-7.5480,2.2340,8.8130,4.6160,11.3970,-12.2550,-135.4140,-154.8730,31.9410,-26.5780,-1.7450,6.1270,5.9660,6.4880,-10.2060,52.8740,-100.0620,33.7650,29.2250,1.6280,8.6500,2.5980,-4.1190,-1.5430,116.1890,-39.0990,-37.5070,15.1050,-2.3080,8.9330,4.7930
560,-3.6560,-1.9510,3.0740,-23.0640,-34.0370,23.7920,4.6260,8.7840,-2.7940,4.4620,1.3860,4.9410,-23.3020,20.9540,-7.3950,2.1520,9.2300,4.9460,12.2180,-19.1990,-135.8880,-147.6980,15.6200,-11.8450,-1.8320,4.7240,9.1120,8.3070,-18.5490,54.0800,-175.9710,64.9250,30.1260,2.6360,5.2790,8.8560,-6.3770,-7.5390,117.6380,-132.7630,-29.0340,36.2200,0.5080,6.1170,7.6880
600,-3.6280,-2.7020,4.3160,-31.1860,-22.0220,31.0290,1.4920,8.3340,-3.3880,5.4070,0.6510,4.7050,-16.1110,28.4040,-5.9140,2.0610,8.2030,4.5230,12.8140,-22.7020,-136.1540,-97.9720,11.1010,-6.6690,-1.6740,6.2490,6.9980,9.3020,-23.5050,54.5990,-110.3370,37.9170,12.9960,1.7690,5.8320,8.1690,-5.5030,-11.0130,118.1190,-82.6870,15.7750,12.0210,-2.6670,6.8790,7.7620
