timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,-7.4920,-13.4650,-8.2650,-3.5380,2.8650,1.4180,3.2180,8.9660,-1.2260,10.7570,-3.5110,60.1890,-0.0700,0.5490,3.7570,0.9550,9.0960,4.1350,1.6410,0.7800,-22.3830,1.7790,2.1070,2.9740,-0.4960,8.9850,3.9120,-7.4800,-1.1320,108.6000,4.1180,10.8390,3.2830,3.6080,8.5280,4.0490,-18.0670,-10.3530,71.0240,-2.2320,4.5140,0.8530,0.1750,7.2470,6.8590
40,-7.7260,-13.6030,-8.2650,-2.2860,-5.0430,1.1590,3.7420,9.0760,-1.0560,10.6000,-3.3810,60.1890,0.4030,-2.5650,3.9250,0.8980,9.2510,3.9030,1.3760,0.2260,-22.3830,-7.3200,-1.7560,-0.4770,-0.2680,8.6890,4.5680,-7.7110,-1.3920,108.6000,-6.4620,-4.8090,1.6640,3.6300,8.4610,4.1010,-17.9830,-10.2270,71.0240,1.2940,-0.4630,-1.1470,0.1340,7.5470,6.4310
80,-7.7370,-13.6880,-8.2650,-1.4610,-0.2800,1.7850,3.7300,9.1600,-1.0750,10.5200,-3.8090,60.1890,-2.5280,-1.4970,1.5280,0.8280,8.8590,4.8390,1.6050,0.4860,-22.3830,3.6720,4.0000,-0.2630,-0.8550,8.9780,3.7920,-7.5260,-1.3620,108.6000,1.8130,4.1070,-0.5650,3.4670,8.4850,4.1970,-18.0460,-10.3590,71.0240,0.2560,1.0020,0.6240,0.5790,7.2260,6.7920
120,-7.6890,-13.8320,-8.2650,-3.2170,-0.9670,-0.9790,3.5120,9.0550,-1.0390,10.4240,-3.7440,60.1890,0.6320,-2.1680,1.8180,0.7970,9.0260,4.0290,1.4580,0.7010,-22.3830,1.5960,-1.6180,0.4390,-0.5120,8.9690,3.6730,-7.4070,-1.2500,108.6000,1.9200,0.6260,0.1990,3.2540,8.5280,4.0220,-18.2000,-10.2300,71.0240,1.5230,-3.9900,1.5860,0.3690,7.4840,6.4000
160,-7.7540,-13.9430,-8.2650,-3.0800,-2.2180,-1.2230,3.7180,9.1080,-1.0630,10.5010,-3.6270,60.1890,0.7540,0.1980,-0.4720,0.6150,9.1170,3.9480,1.4170,0.2610,-22.3830,-5.9160,0.1220,-0.5830,-0.5770,8.5810,4.3810,-7.5390,-1.3950,108.6000,-5.0720,-2.4120,0.9010,3.5080,8.4160,3.9530,-18.0990,-10.2160,71.0240,0.2560,1.7500,-0.0320,0.2940,7.3910,6.5050
200,-7.6120,-14.0470,-8.2650,-2.4840,-0.8140,0.7770,3.3280,8.9730,-0.9790,10.6820,-3.8780,60.1890,-2.1960,0.0440,-0.0420,0.3450,8.7650,4.4080,1.5440,0.4670,-22.3830,2.4960,0.5650,-0.4920,-0.9070,8.8940,3.7830,-7.4900,-1.3210,108.6000,1.1570,-1.2980,-0.3970,3.2370,8.5380,4.0650,-18.0560,-10.2720,71.0240,-0.3090,1.2010,-0.9330,0.3590,7.2620,6.5360
240,-7.5720,-14.2920,-8.2650,-4.4840,-1.9130,0.1660,3.4760,8.9730,-0.8040,10.7780,-3.8630,60.1890,1.4070,1.1440,0.0650,0.6030,8.9810,4.2210,1.6720,0.6630,-22.3830,-0.2210,1.7560,0.7910,-0.8310,9.0360,3.5960,-7.2710,-1.0260,108.6000,1.7520,3.2670,1.1610,3.2130,8.7030,3.6630,-17.6060,-10.3030,71.0240,-1.1480,6.3150,-0.2920,-0.1360,7.4990,6.5940
280,-7.4490,-14.2820,-8.2650,-2.6520,-0.9360,1.6320,3.4400,9.0740,-1.1520,10.7250,-3.9090,60.1890,-2.3940,-1.5280,1.6830,0.6970,9.0450,4.0510,1.4660,0.1030,-22.3830,-7.5800,-0.7780,-0.5990,-0.3160,8.6670,4.5900,-7.5380,-1.3000,108.6000,-7.3780,-2.5960,2.0310,3.7450,8.3510,4.0030,-17.6540,-10.3280,71.0240,-2.3850,-1.1660,-0.9330,0.2940,7.4770,6.4310
320,-7.4890,-14.2180,-8.2650,0.5540,-3.2570,4.1660,3.6660,9.1770,-1.0030,10.5240,-4.2070,60.1890,-3.9820,-4.8560,3.5460,0.7590,8.8990,4.4770,1.7470,0.0920,-22.3830,-0.8620,4.5190,-0.0490,-0.9240,8.7580,3.9820,-7.0820,-1.2020,108.6000,1.6910,9.4200,0.2600,3.1820,8.5810,4.0800,-17.5270,-10.5260,71.0240,-5.5910,5.1400,-1.1770,0.4330,7.4100,6.5550
360,-7.4740,-14.3440,-8.2650,-2.9880,-5.0430,3.6780,3.3260,8.9610,-0.8500,10.2630,-4.2660,60.4470,-3.5850,-6.0170,6.4460,0.8260,9.1050,4.0650,1.7030,0.1280,-22.3830,-5.2440,1.3590,0.5770,-0.5170,9.1220,3.6420,-6.8680,-1.2960,108.6000,-12.0650,5.1300,4.8860,3.2540,8.7530,3.4000,-17.2490,-10.7500,71.0240,-14.5990,7.8720,-1.7570,0.2870,7.7670,6.0070
400,-7.3510,-14.1730,-7.7530,-6.2400,-12.7530,12.7920,2.5710,9.2180,-1.7290,10.3870,-4.7430,60.9120,-7.9670,-8.9940,11.6220,-0.2610,8.7750,4.5630,2.3150,-0.7210,-22.3830,-17.7630,12.4280,-3.3770,-1.0440,8.5310,4.4050,-7.4700,-4.1450,109.5210,-88.1870,1.8320,23.0230,4.6260,8.1910,3.1030,-16.5990,-12.5520,71.0240,-59.3320,22.1930,0.3650,0.5480,7.3410,5.5590
440,-9.4590,-14.8650,-6.2950,-13.4770,-45.3790,36.4560,4.9110,8.8870,-0.4310,9.9350,-5.0150,61.7510,-8.4550,-15.8030,20.9650,0.4690,8.8780,4.1440,2.6590,-1.1290,-22.3830,-23.5650,7.4510,-3.2090,-0.9390,8.9110,3.1720,-4.8180,-7.3970,110.3370,-78.2940,47.5720,20.3970,1.3810,8.4060,5.6340,-13.6350,-15.7910,70.6430,-71.4080,67.2160,-9.5130,-1.0200,6.1600,7.9060
480,-9.9750,-15.1850,-5.6190,-13.5680,-19.1190,16.8990,3.8260,8.9970,-1.0940,8.4320,-5.6000,62.6800,-14.2420,-25.4670,23.2400,2.1550,8.8750,4.4460,2.7910,-2.8070,-22.1030,-41.7480,13.6190,7.0200,-0.0430,8.5090,4.5250,-3.4570,-10.6920,111.8860,-114.8430,43.9690,38.7330,3.1170,7.8700,2.8730,-11.6290,-16.8210,69.8310,-54.1410,33.6740,-20.3070,-2.2360,8.4010,5.8200
520,-10.7000,-15.1480,-4.8170,-8.5150,-31.0120,20.0440,3.5530,9.3470,-1.4250,8.0420,-5.9050,63.2640,-14.6080,-5.1010,14.5840,1.5350,9.0690,3.9220,3.8240,-4.3680,-22.1030,-35.8090,23.8480,2.4090,-1.2450,8.2650,4.9680,-0.7410,-16.4170,113.5210,-132.1410,79.4200,40.8550,2.9450,6.0910,6.5550,-11.5080,-20.6170,70.6900,-120.5840,4.7880,21.4640,-0.5240,6.6420,5.6240
