timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,8.2700,-1.3680,-88.1170,-0.4570,1.3800,3.1920,1.6540,9.9310,-0.9290,-0.6690,-6.0940,81.8690,-1.0270,1.3260,1.2250,-0.1630,9.1360,4.1520,4.1260,-10.0060,-9.1910,-3.5530,0.7140,0.0530,-1.5040,8.8900,3.6200,1.3730,-9.5610,-14.8390,-1.4370,1.7800,2.5580,3.2560,8.6670,3.8450,-7.8740,-3.3790,96.9150,-3.0700,0.3670,3.0200,2.1500,8.3580,4.6570
40,8.6600,-1.3500,-88.1170,-2.9150,0.7540,3.0090,1.0680,9.7970,-1.1180,-0.6680,-5.9210,81.8690,1.7370,0.7460,0.2630,-0.4790,9.2490,3.6560,4.1010,-10.0670,-9.1910,-0.6220,2.4090,-0.3290,-1.4530,8.9570,3.5080,1.5690,-9.7860,-14.8390,0.3030,5.3370,2.3290,3.0930,8.5310,4.2570,-7.5750,-3.6180,96.9150,-1.2990,7.0240,4.5780,2.0280,8.4800,4.8120
80,8.3740,-1.4070,-88.1170,0.6730,-5.9940,3.5430,1.9800,9.8400,-0.5990,-0.8170,-6.1270,81.8690,-1.5460,-1.6660,-0.2260,-0.3350,9.0980,4.1990,3.9970,-10.0180,-9.1910,-1.0340,-1.1640,0.6170,-1.5750,9.1220,3.2850,1.5670,-9.7310,-14.8390,-0.4750,-0.2050,2.1150,3.0210,8.7960,3.6610,-7.4470,-3.4710,96.9150,0.6090,1.8940,2.8370,1.9460,8.8820,4.2620
120,8.7740,-1.3370,-88.1170,0.2000,0.5250,2.5510,0.9670,9.6460,-0.8500,-0.7070,-6.1270,81.8690,1.3250,0.1810,1.3320,-0.7330,9.1200,3.9840,4.0590,-10.3430,-9.1910,-3.2330,1.2030,0.1440,-1.7260,8.8660,3.8710,1.5400,-10.0140,-14.8390,-0.0170,1.8100,2.0240,3.2540,8.5070,4.3690,-7.4300,-3.7730,96.9150,-2.0930,0.9930,2.7760,2.0710,8.4230,4.8770
160,8.8570,-1.5930,-87.5070,-16.6090,-20.1920,15.2530,-0.0860,10.0360,-1.5250,-0.9540,-5.8200,81.8690,5.7980,-2.5520,-1.2180,-0.1560,9.2320,3.6820,3.9190,-10.3430,-9.1910,0.3090,0.0730,1.3650,-1.3650,9.0210,3.5170,1.6500,-9.9310,-14.8390,2.2730,0.8640,1.8250,2.8320,8.7870,3.8520,-7.3870,-3.7730,96.9150,1.6780,0.7950,2.2110,1.9920,8.6330,4.6210
200,9.0410,-1.6830,-87.1880,-7.2660,-8.3140,7.9710,0.7110,10.0290,-0.9860,-0.5430,-5.8350,81.8690,0.5770,5.2350,1.1640,-0.9390,9.0120,3.8470,4.1400,-10.5990,-9.1910,-4.0720,3.7680,-1.2760,-1.8360,8.8820,3.6850,1.4770,-10.0690,-14.8390,-1.5750,-0.3580,4.0850,3.2970,8.5210,3.9000,-7.3690,-3.8410,96.9150,-2.2150,-1.2820,1.9820,1.8290,8.5860,4.4030
240,8.0550,-3.9600,-85.9180,-40.3040,-33.0010,31.7570,-3.0330,13.3240,-3.9360,-1.0390,-5.6910,81.8690,11.1110,-7.0250,0.5680,0.0260,9.0480,4.4340,4.2840,-10.7190,-9.1910,-1.0190,2.9740,1.2590,-1.7570,8.9180,3.6800,1.2890,-10.0810,-14.8390,1.4020,2.5130,2.1000,3.5410,8.3990,3.8260,-7.1270,-4.0070,96.9150,0.0290,5.6960,4.1350,1.9460,8.6120,4.8870
280,1.2580,-7.7060,-80.0010,-163.2660,-204.5430,147.9100,0.3880,8.1810,-4.1970,-1.1670,-4.7290,81.6220,20.4090,-12.7810,-6.1800,-1.1900,9.2250,3.2970,4.4840,-10.8130,-9.1910,0.5230,5.6610,-3.1230,-1.6780,8.9090,3.7680,0.9640,-10.4710,-14.8390,0.2880,-3.4720,0.4510,3.4260,8.2980,4.5710,-7.2280,-4.5180,96.9150,-0.9940,-1.0220,1.1880,2.0400,7.9300,5.2840
320,-12.0520,-12.8270,-71.0540,-127.9380,-268.0090,223.6800,8.3340,4.6470,0.8260,-1.7700,-4.4290,81.6220,5.5080,-17.4220,1.4230,-0.4570,9.2580,3.4070,4.6210,-10.2140,-9.1910,5.7900,0.1190,-1.6420,-1.9900,9.1030,2.6930,0.9060,-10.2330,-14.8390,-0.1700,-5.6100,0.2220,2.6740,8.9760,3.3850,-7.8390,-3.8830,96.4310,3.5860,-17.7400,-12.1090,1.9180,9.4550,3.6820
360,-19.3860,-15.6660,-63.4240,-57.5100,-190.1770,190.7490,8.3410,10.1590,-0.9790,-2.6620,-4.8910,81.6220,-4.4460,-19.7580,4.1410,0.1170,9.0380,4.2280,4.4740,-10.1640,-8.9480,-4.8360,-2.7670,6.0680,-1.5830,8.9400,2.9140,0.3910,-10.2580,-14.5050,-2.2460,-7.5790,8.3440,3.4620,8.4710,3.5870,-8.4280,-3.9730,96.4310,-3.8340,-13.4500,0.5010,2.2310,8.5830,4.3190
400,-25.5470,-20.5370,-59.9420,-138.8230,-138.5430,87.0390,7.5870,6.1990,1.2330,-3.5670,-4.8770,81.6220,4.3780,-23.6360,2.1710,-0.0240,9.2030,3.9910,4.2000,-10.4780,-8.6100,-5.7970,-1.8200,8.4340,-1.2400,8.9830,3.6990,-0.1330,-10.5220,-14.2510,-2.8270,-8.7700,6.3600,3.5270,8.4780,4.1040,-8.9050,-4.4410,96.4310,-5.8640,-11.5560,3.8600,2.2310,8.2700,4.9250
440,-28.9490,-23.7350,-58.0470,-120.6090,-84.7420,47.3750,8.0160,7.4440,0.6080,-3.6610,-4.6780,81.6220,4.6680,-7.9410,4.0030,-0.3830,9.3800,3.6220,4.1290,-10.8400,-8.6100,-4.4540,-0.0950,2.7850,-1.4960,8.7920,3.8980,-0.7160,-10.6600,-14.2510,-2.3070,-8.7700,3.9320,3.6970,8.4470,3.8710,-9.7580,-4.4050,96.4310,-2.1700,-16.7630,-0.7810,2.6770,8.4300,4.1780
480,-29.9150,-28.2920,-57.3350,-170.1360,-53.5360,17.8180,5.2860,7.4790,0.3900,-4.0090,-4.6090,81.6220,2.6220,-14.2460,2.5380,-0.2920,9.2850,3.6770,4.0580,-10.9350,-8.6100,-2.4390,-1.2400,3.1520,-1.5800,8.9660,3.5670,-0.6490,-10.6980,-14.2510,0.9440,0.6190,4.4050,3.1600,8.7200,4.0650,-9.9060,-4.2330,96.4310,0.8080,-6.1210,0.7300,2.1950,8.8630,4.3290
520,-34.2660,-36.6390,-56.2760,-222.7770,-103.4290,26.4590,9.1240,5.5620,3.2320,-4.9410,-4.4610,81.6220,3.0650,-27.5290,0.3090,0.0000,9.3350,3.5310,3.8290,-11.0000,-8.6100,-2.6070,-3.5760,3.5790,-1.3960,8.9570,3.4960,-0.9660,-10.7450,-14.2510,-1.4830,-6.2510,3.1990,3.4070,8.6600,3.8470,-10.2790,-4.3250,96.4310,-1.1620,-9.4190,0.9440,2.4010,8.4520,4.5710
560,-37.4310,-45.5420,-55.8470,-214.5180,-85.4290,10.7340,7.7880,8.7290,0.9070,-5.2350,-4.4260,81.6220,1.8440,-20.1700,1.8360,-0.6340,9.0480,3.5580,4.0560,-11.4540,-8.6100,-7.4010,3.4620,1.2590,-1.7650,8.6380,3.8710,-1.3000,-10.8820,-14.2510,-2.9490,-3.0450,4.8940,3.6990,8.4350,3.8380,-10.6100,-4.2720,96.4310,-1.8800,-10.2740,-0.1550,2.3030,8.6620,4.2690
