timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,8.4580,-1.6370,-154.8050,-0.4110,1.0200,0.7690,1.1440,9.9220,-0.7850,-28.8620,-116.2430,-56.2560,-0.1810,-0.0500,1.1130,4.1320,-6.0670,7.1320,-17.2050,8.1350,-22.1800,-1.8830,-0.8080,-0.0700,1.1160,-8.7960,4.6090,-5.1480,-128.1630,-19.2470,0.4010,1.3740,1.9590,3.1410,-7.9510,5.5640,-8.5310,-23.9220,-37.0340,-1.6520,2.0410,0.9650,3.2800,5.6360,7.5130
40,8.4540,-1.7060,-154.8050,-0.7010,2.5010,0.4330,1.0250,9.7950,-0.6730,-28.8360,-116.2240,-56.2560,0.2000,-0.9510,1.4180,4.0960,-5.8060,7.0650,-17.1450,8.0520,-22.1800,-0.7830,-1.4040,1.2130,1.1110,-8.7580,4.5110,-5.0710,-128.1290,-19.2470,1.0270,-0.1230,2.4940,3.2560,-7.8820,5.4640,-8.4780,-24.0770,-37.0340,-1.3160,1.8120,2.0340,3.2230,5.6380,7.5920
80,8.3360,-1.7530,-154.8050,-0.5790,-0.0790,1.1500,1.0440,9.8190,-0.7090,-28.7480,-116.3290,-56.2560,-1.8450,-0.2790,0.4260,4.0990,-6.0070,7.1510,-17.1470,8.0400,-22.1800,-0.2950,-1.5410,0.9380,1.2310,-8.6500,4.5780,-5.0500,-128.2180,-19.2470,-3.2480,-2.3210,-1.1250,3.2150,-7.8820,5.5640,-8.4990,-24.0790,-37.0340,-0.7050,-0.6460,1.2550,3.1820,5.8680,7.4580
120,8.0720,-1.7780,-154.8050,0.1850,-0.9950,0.7070,1.2810,9.7160,-0.6820,-28.7370,-116.3990,-56.2560,0.6280,-1.4400,-0.0470,4.1230,-6.0140,6.9600,-17.1510,7.9740,-22.1800,-2.0960,-1.6480,-2.7420,1.2670,-8.8470,4.7120,-4.9130,-128.2520,-19.2470,-0.2250,-0.0460,0.5090,3.1440,-7.9300,5.4250,-8.4530,-24.1170,-37.0340,-0.9340,1.1400,1.2250,3.1440,5.7530,7.4100
160,8.0320,-1.6500,-154.8050,1.9400,2.1040,0.0510,1.0680,9.8880,-0.8950,-28.7060,-116.4490,-56.2560,0.3840,-1.6990,-0.7350,4.1400,-6.0840,7.1300,-17.1770,7.9330,-22.1800,-0.0200,-1.8460,0.8610,1.2830,-8.7460,4.5180,-4.8460,-128.3230,-19.2470,-0.1490,-1.6950,-0.6510,3.1650,-7.9990,5.3610,-8.7530,-24.2150,-37.0340,0.0280,-2.0820,2.8130,3.6920,5.6050,7.5580
200,7.8700,-1.5290,-154.8050,1.5430,0.3180,0.5400,1.1760,9.8710,-0.9310,-28.5670,-116.4570,-56.2560,1.2230,-0.0200,-1.5590,3.9670,-5.9710,7.0290,-17.0700,7.9260,-22.1800,1.1860,-0.2280,-0.2070,1.1320,-8.7840,4.5030,-4.8070,-128.3720,-19.2470,0.4470,-0.5500,-1.1700,3.3060,-7.9150,5.2940,-8.7710,-24.2630,-37.0340,0.6990,-0.4940,0.4160,3.1840,5.6260,7.5130
240,7.7860,-1.4490,-154.8050,0.8110,0.4550,-0.8190,1.0030,9.7990,-0.9150,-28.5470,-116.3960,-56.2560,0.2920,-0.6760,0.3040,4.1350,-5.7150,7.0630,-16.9810,7.9390,-22.1800,1.5220,-0.0300,-0.8640,1.1540,-8.5570,4.4130,-4.8050,-128.3180,-19.2470,-0.5910,-1.3900,-0.3310,3.3020,-7.6810,5.4970,-8.9220,-24.0390,-37.0340,1.5200,-1.5450,1.6500,3.3540,5.9300,7.0800
280,7.7130,-1.4390,-154.8050,0.2760,0.0120,1.1960,0.9310,9.7590,-0.8090,-28.5470,-116.3960,-56.2560,0.2920,-0.6760,0.3040,4.1350,-5.7150,7.0630,-16.9760,8.0550,-22.1800,-0.7830,-1.7090,-0.4970,1.2190,-8.5140,4.8670,-4.7860,-128.3350,-19.2470,-1.8430,-0.6110,0.3870,3.3400,-7.7020,5.4520,-8.8550,-24.0000,-37.0340,-2.0220,1.0200,2.1240,3.1170,5.9230,7.2070
320,7.4470,-1.3730,-154.8050,1.6960,-1.1630,2.0510,1.2810,9.9140,-0.8360,-28.4570,-116.5820,-56.2560,-1.4190,-1.3600,-1.5450,4.1520,-6.1170,7.0080,-16.9280,8.0200,-22.1800,-1.2110,-0.6400,-0.2220,1.2230,-8.7050,4.6420,-4.7670,-128.5520,-19.2470,-3.2480,-2.6110,-1.9790,3.2080,-7.9730,5.2430,-8.7950,-24.1040,-37.0340,-1.1970,0.2570,1.0850,3.0770,5.6690,7.4790
360,7.1920,-1.3930,-154.8050,0.3680,-0.0790,2.1120,1.3460,9.7800,-0.7570,-28.4550,-116.7140,-56.2560,-0.6560,-1.0090,-0.8580,4.2500,-6.0960,6.9810,-16.8850,7.9030,-22.1800,-0.6920,-1.0220,-2.6650,1.2090,-8.8710,4.4630,-4.6490,-128.6990,-19.2470,-1.0490,-0.4740,0.4940,3.2200,-8.1260,5.2740,-9.0180,-24.4520,-37.0340,-2.4030,-1.1780,1.6040,3.6010,5.2910,7.7020
400,7.0080,-1.3820,-154.8050,-0.0900,0.0730,-0.4220,1.2090,9.7250,-0.8600,-28.3180,-116.7000,-56.2560,0.8400,0.5180,-0.4310,4.0460,-5.9420,7.0750,-16.8810,7.8580,-22.1800,0.0560,-0.6550,-0.2220,1.3170,-8.7530,4.5030,-4.5240,-128.6250,-19.2470,1.6070,0.0910,-1.0940,3.1530,-7.7500,5.3220,-8.9190,-24.4970,-37.0340,0.7870,1.8140,-1.2660,3.1580,5.6360,7.5780
440,6.8280,-1.3330,-154.8050,0.6430,-0.1870,-0.0690,1.1970,9.8140,-0.8930,-28.2660,-116.7380,-56.2560,-0.5030,-0.2610,0.7300,4.1250,-5.8660,6.9840,-16.7750,7.9160,-22.1800,1.2930,-0.3770,-0.5110,1.1200,-8.7460,4.6380,-4.4300,-128.6310,-19.2470,0.0040,0.4730,0.7080,3.2700,-7.8100,5.3250,-9.1080,-24.4540,-37.0340,-0.4640,-1.7740,1.2530,3.4400,5.7390,7.2450
480,6.8300,-1.3570,-154.8050,-0.1850,-0.3080,1.7330,0.7660,9.6220,-0.7920,-28.3140,-116.7710,-56.2560,-3.1270,0.2290,-1.8850,4.3410,-5.6000,6.9840,-16.7960,7.9300,-22.1800,-1.5470,-1.3550,-0.1600,1.3170,-8.6600,4.7600,-4.4420,-128.7820,-19.2470,-2.8200,1.2030,-0.1970,3.5310,-7.7310,5.1620,-9.0860,-24.5140,-37.0340,-3.1060,1.1120,0.3370,3.2370,5.7650,7.2930
520,6.4270,-1.4080,-154.4740,-1.2690,-5.7120,8.2670,1.2230,9.7040,-0.8280,-28.1910,-117.1920,-56.2560,-10.5620,0.2440,-1.5790,4.0870,-6.0170,7.1040,-16.7550,7.8500,-22.1800,-3.8680,2.7220,-2.3280,1.4800,-8.4040,4.5970,-4.1050,-128.9850,-19.2470,-8.7900,5.9060,1.0860,3.1790,-7.6950,5.5500,-9.0270,-24.5060,-37.0340,-7.7160,-1.3920,-1.1130,3.0000,6.2900,7.1490
