timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az
0,1.3640,-23.1950,40.8430,0.4830,-0.3970,0.1650,0.5050,9.4140,3.2390,6.0120,-15.2620,35.8710,-0.9900,-2.8940,-0.6770,-1.5710,8.5520,5.0010,-2.8790,131.7690,84.6980,-2.9500,-3.8020,0.9810,-1.4440,8.8350,3.7900,23.9880,-137.5890,37.5240,-0.3860,0.5460,-0.1910,-0.0670,-9.0290,4.4650,13.7760,-106.4480,114.4950,-0.5660,0.7790,-0.3110,0.3020,-6.7490,6.9050
40,1.4200,-23.1870,40.8430,-0.4500,0.8720,0.0420,0.4000,9.3780,3.2490,6.0740,-15.1650,35.8710,0.3530,1.6100,0.4980,-1.5440,8.5860,4.6760,-2.8080,131.9040,84.6980,1.5080,1.5420,-1.2780,-1.5800,8.9640,3.5790,23.9340,-137.6050,37.5240,0.2870,-0.7850,0.3140,-0.0410,-8.9710,4.3260,13.7400,-106.4860,114.4950,0.3960,-0.9160,0.4370,0.2850,-6.8450,6.6970
80,1.4200,-23.1870,40.8430,-0.4500,0.8720,0.0420,0.4000,9.3780,3.2490,6.0590,-15.1520,35.8710,0.1850,0.0990,0.3300,-1.5230,8.5980,4.8670,-2.8620,131.9480,84.6980,-0.2180,-0.5500,0.6910,-1.4820,8.9260,3.6080,23.9220,-137.5770,37.5240,0.1640,-0.2620,0.0370,-0.0840,-8.9420,4.4360,13.7290,-106.4570,114.4950,0.3040,-0.1070,0.1170,0.3060,-6.8280,6.8950
120,1.4570,-23.1850,40.8430,0.2400,0.7300,-0.0470,0.4620,9.3210,3.2700,6.0360,-15.2270,35.8710,-0.4870,-0.8180,-0.4040,-1.5730,8.4800,4.9610,-2.8120,131.8340,84.6980,-1.1330,-0.5930,-1.0220,-1.6970,8.7440,3.8190,23.9370,-137.5510,37.5240,-0.0050,-0.0010,-0.0700,-0.1220,-8.9880,4.4720,13.7540,-106.4370,114.4950,0.0280,0.2290,-0.1590,0.2540,-6.7800,6.8520
160,1.4940,-23.1480,40.8430,0.0860,1.1690,0.0600,0.4530,9.4120,3.2390,6.0850,-15.1110,35.8710,0.8100,1.2890,0.8630,-1.5560,8.6430,4.6950,-2.7810,131.9350,84.6980,0.3640,0.0940,1.0840,-1.6070,8.8870,3.5170,23.9380,-137.5600,37.5240,-0.1120,-0.4590,0.0220,-0.1290,-9.0480,4.4240,13.7490,-106.4550,114.4950,-0.0790,-0.3820,0.2850,0.2710,-6.9020,6.8740
200,1.3580,-23.1140,40.8430,0.3450,-0.9070,-0.0160,0.6680,9.4430,3.2750,6.0650,-15.1530,35.8710,-0.6550,-0.5890,-0.5570,-1.5710,8.5590,4.8990,-2.7870,131.8660,84.6980,-1.0560,-0.7760,-1.8470,-1.6070,8.8250,3.7570,23.9500,-137.5620,37.5240,-0.1110,0.0010,0.0220,-0.1150,-8.9970,4.4170,13.7440,-106.4860,114.4950,0.1040,-0.3190,-0.1290,0.2730,-6.7850,6.6920
240,1.2840,-23.0740,40.8430,0.2670,-0.0630,-0.4900,0.6150,9.4520,3.2510,6.0370,-15.1850,35.8710,0.4900,-1.2150,0.2670,-1.5970,8.4950,4.9510,-2.8450,131.7960,84.6980,-0.4150,-1.1420,0.8710,-1.5300,8.8560,3.8380,23.9800,-137.5390,37.5240,0.2400,0.3220,-0.5280,-0.1290,-8.9280,4.4150,13.7700,-106.4560,114.4950,0.1650,0.0790,-0.7080,0.2390,-6.7590,6.8430
280,1.2840,-23.0740,40.8430,0.2670,-0.0630,-0.4900,0.6150,9.4520,3.2510,6.0080,-15.1450,35.8710,-0.8230,0.2970,0.0690,-1.4650,8.6430,4.7260,-2.8540,131.8500,84.6980,0.4860,-0.1190,0.3520,-1.5440,8.9140,3.6560,23.9130,-137.5460,37.5240,-0.2800,-0.4280,0.5290,0.0260,-8.9830,4.4150,13.7120,-106.4780,114.4950,-0.1410,-0.1350,0.8530,0.4050,-6.8550,6.8190
320,1.3840,-23.0840,40.8430,0.1590,1.2960,-0.4110,0.3400,9.3470,3.2940,6.0330,-15.0740,35.8710,0.3260,0.4790,0.2210,-1.5590,8.5590,4.7090,-2.8450,131.8140,84.6980,-2.2650,-0.4850,-0.6580,-1.5900,8.7990,3.5720,23.9120,-137.4910,37.5240,0.1490,-0.3650,-0.2990,-0.1130,-8.8540,4.4680,13.7020,-106.4370,114.4950,0.1500,-0.2560,-0.0980,0.2940,-6.7280,6.8470
360,1.3550,-23.0810,40.8430,0.9070,-1.6810,0.3680,0.3660,9.3950,3.3730,6.0360,-15.0210,35.8710,-0.2870,-0.3790,-0.4210,-1.5990,8.6550,4.7380,-2.9820,131.9470,84.6980,2.3460,-1.7980,0.4720,-1.4030,8.9570,3.6510,23.9250,-137.4540,37.5240,-0.5540,0.3700,0.1460,-0.0810,-8.9830,4.5590,13.7490,-106.3800,114.4950,-0.3550,1.2870,0.2380,0.3020,-6.7730,7.0100
400,1.3350,-22.9970,40.8430,1.0900,0.4870,1.6810,0.5340,9.3850,3.1890,6.0350,-15.2120,35.8710,-2.5900,-0.8040,-0.9840,-1.6180,8.4470,5.0230,-3.0010,131.6750,84.6980,-3.7150,-2.6070,-1.7420,-1.6970,8.7120,3.9530,23.9860,-137.5260,37.5240,-0.8570,1.0090,1.0760,-0.1360,-8.9830,4.3140,13.7760,-106.4620,114.4950,-0.9660,0.5850,1.2610,0.2750,-6.8520,6.7320
